isoform_id,bam1_count,bam2_count
CHS.35256.33,2,0
CHS.35304.12,2,0
CHS.35332.5,4,0
CHS.35444.20,2,0
CHS.35520.4,2,0
CHS.35530.2,2,0
CHS.35530.70,2,0
CHS.35586.9,2,0
CHS.35722.2,2,0
CHS.35738.20,2,0
CHS.35763.2,2,0
CHS.35797.14,2,0
CHS.35797.7,2,0
CHS.35848.2,2,0
CHS.35882.1,8,0
CHS.35882.2,6,0
CHS.35882.3,10,0
CHS.35893.13,2,0
CHS.35937.12,2,0
CHS.35960.9,2,0
CHS.35969.3,2,0
CHS.35984.1,2,0
CHS.36078.1,2,0
CHS.36084.40,2,0
CHS.36155.2,2,0
CHS.36273.1,2,0
CHS.36600.1,2,0
CHS.36622.1,4,0
CHS.36622.2,2,0
CHS.36648.1,4,0
CHS.36726.17,2,0
CHS.36782.15,2,0
CHS.36782.17,2,0
CHS.36782.19,6,0
CHS.36798.1,2,0
CHS.3687.4,2,0
CHS.36898.14,2,0
CHS.36983.1,4,0
CHS.36983.2,4,0
CHS.36994.2,4,0
CHS.36999.12,2,0
CHS.36999.13,2,0
CHS.36999.2,2,0
CHS.37012.36,2,0
CHS.37012.46,2,0
CHS.37027.14,2,0
CHS.37036.14,2,0
CHS.37097.7,2,0
CHS.37114.14,2,0
CHS.37119.1,2,0
CHS.37178.7,2,0
CHS.37182.6,2,0
CHS.37194.3,2,0
CHS.37233.19,2,0
CHS.37245.9,2,0
CHS.37246.4,2,0
CHS.37246.5,2,0
CHS.37265.19,2,0
CHS.37284.22,2,0
CHS.37293.7,2,0
CHS.37300.5,2,0
CHS.37340.21,2,0
CHS.37363.2,6,0
CHS.37429.10,2,0
CHS.37429.15,2,0
CHS.37468.13,2,0
CHS.37479.1,2,0
CHS.37484.4,2,0
CHS.37493.2,2,0
CHS.37665.6,2,0
CHS.3767.20,2,0
CHS.37700.6,2,0
CHS.37714.20,2,0
CHS.3780.1,2,0
CHS.37840.1,2,0
CHS.37856.12,2,0
CHS.37856.5,2,0
CHS.37946.8,2,0
CHS.37984.6,2,0
CHS.37996.2,2,0
CHS.38110.2,2,0
CHS.38146.2,2,0
CHS.38150.6,2,0
CHS.38167.2,2,0
CHS.38274.2,2,0
CHS.38279.1,1,0
CHS.38292.19,2,0
CHS.38332.7,4,0
CHS.38374.16,2,0
CHS.38384.3,2,0
CHS.38410.23,2,0
CHS.3844.3,2,0
CHS.38449.10,2,0
CHS.38485.7,2,0
CHS.38521.11,2,0
CHS.38541.5,2,0
CHS.38558.27,2,0
CHS.38575.9,2,0
CHS.38628.2,2,0
CHS.38630.8,2,0
CHS.38632.10,2,0
CHS.38715.56,2,0
CHS.38715.99,2,0
CHS.38757.6,2,0
CHS.38800.14,2,0
CHS.38800.20,2,0
CHS.38807.7,2,0
CHS.38939.3,2,0
CHS.39040.22,2,0
CHS.39043.4,2,0
CHS.39097.9,2,0
CHS.39142.4,2,0
CHS.3919.1,2,0
CHS.39192.2,1,0
CHS.39203.16,2,0
CHS.3922.2,2,0
CHS.39322.6,2,0
CHS.39391.1,2,0
CHS.39425.14,2,0
CHS.39438.15,2,0
CHS.39445.7,2,0
CHS.39448.8,2,0
CHS.39465.2,2,0
CHS.39493.8,2,0
CHS.39680.5,4,0
CHS.39709.36,2,0
CHS.39711.10,2,0
CHS.39711.13,2,0
CHS.3978.4,2,0
CHS.39946.10,2,0
CHS.39967.4,2,0
CHS.39969.24,2,0
CHS.39999.5,2,0
CHS.40003.1,4,0
CHS.40090.9,2,0
